timestamp,pod,cpu_millicores,memory_mib
1781120940,angular-frontend-6d48cd76f7-wd7c7,0,8
1781120940,db-5979fd8856-l845c,1,44
1781120940,kafka-5ffd476ddd-j6bnm,57,967
1781120940,nginx-proxy-668678f9f-qr5tm,1,2
1781120940,shiny-back-5cf78446cf-kthzx,7,63
1781120940,shiny-back-analytics-64446fcfc6-qggjt,7,100
1781120940,shiny-back-analytics-advanced-5f898f466b-2fm2w,6,64
1781120940,shiny-back-csv-6c55c674fb-j97vn,6,63
1781120940,shiny-back-csv-advanced-67699855b-z5fpk,7,102
1781120940,shiny-back-map-699ffc8d4b-zmts7,7,63
1781120940,shiny-back-mc-dfbdb96b-vnq2d,7,89
1781120940,shiny-back-ml-7bc58d4cb9-nfdzv,6,251
1781120940,shiny-front-74f895754c-2n87p,40,182
1781120940,shiny-front-analytics-659b495dfb-xpscp,110,408
1781120940,shiny-front-analytics-advanced-6d576964d8-tc8mt,22,284
1781120940,shiny-front-csv-5fc46bdd6d-jzn78,35,178
1781120940,shiny-front-csv-advanced-7fb5c8d868-hvn2l,35,178
1781120940,shiny-front-map-9f7867f8b-qj7mb,41,178
1781120940,shiny-front-mc-5b5cbcb55d-95q9w,35,230
1781120940,shiny-front-ml-64cff4d56f-p65qz,33,230
1781120940,spring-backend-5dd6794c78-sqlt2,5,319
1781120946,angular-frontend-6d48cd76f7-wd7c7,1,8
1781120946,db-5979fd8856-l845c,1,44
1781120946,kafka-5ffd476ddd-j6bnm,59,967
1781120946,nginx-proxy-668678f9f-qr5tm,2,2
1781120946,shiny-back-5cf78446cf-kthzx,7,63
1781120946,shiny-back-analytics-64446fcfc6-qggjt,7,101
1781120946,shiny-back-analytics-advanced-5f898f466b-2fm2w,7,63
1781120946,shiny-back-csv-6c55c674fb-j97vn,7,63
1781120946,shiny-back-csv-advanced-67699855b-z5fpk,7,102
1781120946,shiny-back-map-699ffc8d4b-zmts7,7,63
1781120946,shiny-back-mc-dfbdb96b-vnq2d,7,89
1781120946,shiny-back-ml-7bc58d4cb9-nfdzv,7,250
1781120946,shiny-front-74f895754c-2n87p,32,183
1781120946,shiny-front-analytics-659b495dfb-xpscp,110,408
1781120946,shiny-front-analytics-advanced-6d576964d8-tc8mt,23,284
1781120946,shiny-front-csv-5fc46bdd6d-jzn78,35,178
1781120946,shiny-front-csv-advanced-7fb5c8d868-hvn2l,35,178
1781120946,shiny-front-map-9f7867f8b-qj7mb,41,179
1781120946,shiny-front-mc-5b5cbcb55d-95q9w,35,230
1781120946,shiny-front-ml-64cff4d56f-p65qz,34,230
1781120946,spring-backend-5dd6794c78-sqlt2,5,319
1781120951,angular-frontend-6d48cd76f7-wd7c7,1,8
1781120951,db-5979fd8856-l845c,1,44
1781120951,kafka-5ffd476ddd-j6bnm,59,967
1781120951,nginx-proxy-668678f9f-qr5tm,2,2
1781120951,shiny-back-5cf78446cf-kthzx,7,63
1781120951,shiny-back-analytics-64446fcfc6-qggjt,7,101
1781120951,shiny-back-analytics-advanced-5f898f466b-2fm2w,7,63
1781120951,shiny-back-csv-6c55c674fb-j97vn,7,63
1781120951,shiny-back-csv-advanced-67699855b-z5fpk,7,102
1781120951,shiny-back-map-699ffc8d4b-zmts7,7,63
1781120951,shiny-back-mc-dfbdb96b-vnq2d,7,89
1781120951,shiny-back-ml-7bc58d4cb9-nfdzv,7,250
1781120951,shiny-front-74f895754c-2n87p,32,183
1781120951,shiny-front-analytics-659b495dfb-xpscp,110,408
1781120951,shiny-front-analytics-advanced-6d576964d8-tc8mt,23,284
1781120951,shiny-front-csv-5fc46bdd6d-jzn78,35,178
1781120951,shiny-front-csv-advanced-7fb5c8d868-hvn2l,35,178
1781120951,shiny-front-map-9f7867f8b-qj7mb,41,179
1781120951,shiny-front-mc-5b5cbcb55d-95q9w,35,230
1781120951,shiny-front-ml-64cff4d56f-p65qz,34,230
1781120951,spring-backend-5dd6794c78-sqlt2,5,319
1781120957,angular-frontend-6d48cd76f7-wd7c7,1,8
1781120957,db-5979fd8856-l845c,1,44
1781120957,kafka-5ffd476ddd-j6bnm,59,967
1781120957,nginx-proxy-668678f9f-qr5tm,2,2
1781120957,shiny-back-5cf78446cf-kthzx,7,63
1781120957,shiny-back-analytics-64446fcfc6-qggjt,7,101
1781120957,shiny-back-analytics-advanced-5f898f466b-2fm2w,7,63
1781120957,shiny-back-csv-6c55c674fb-j97vn,7,63
1781120957,shiny-back-csv-advanced-67699855b-z5fpk,7,102
1781120957,shiny-back-map-699ffc8d4b-zmts7,7,63
1781120957,shiny-back-mc-dfbdb96b-vnq2d,7,89
1781120957,shiny-back-ml-7bc58d4cb9-nfdzv,7,250
1781120957,shiny-front-74f895754c-2n87p,32,183
1781120957,shiny-front-analytics-659b495dfb-xpscp,110,408
1781120957,shiny-front-analytics-advanced-6d576964d8-tc8mt,23,284
1781120957,shiny-front-csv-5fc46bdd6d-jzn78,35,178
1781120957,shiny-front-csv-advanced-7fb5c8d868-hvn2l,35,178
1781120957,shiny-front-map-9f7867f8b-qj7mb,41,179
1781120957,shiny-front-mc-5b5cbcb55d-95q9w,35,230
1781120957,shiny-front-ml-64cff4d56f-p65qz,34,230
1781120957,spring-backend-5dd6794c78-sqlt2,5,319
1781120963,angular-frontend-6d48cd76f7-wd7c7,1,8
1781120963,db-5979fd8856-l845c,1,44
1781120963,kafka-5ffd476ddd-j6bnm,56,968
1781120963,nginx-proxy-668678f9f-qr5tm,2,2
1781120963,shiny-back-5cf78446cf-kthzx,7,63
1781120963,shiny-back-analytics-64446fcfc6-qggjt,6,100
1781120963,shiny-back-analytics-advanced-5f898f466b-2fm2w,6,63
1781120963,shiny-back-csv-6c55c674fb-j97vn,6,63
1781120963,shiny-back-csv-advanced-67699855b-z5fpk,7,102
1781120963,shiny-back-map-699ffc8d4b-zmts7,6,64
1781120963,shiny-back-mc-dfbdb96b-vnq2d,6,89
1781120963,shiny-back-ml-7bc58d4cb9-nfdzv,6,250
1781120963,shiny-front-74f895754c-2n87p,31,183
1781120963,shiny-front-analytics-659b495dfb-xpscp,106,407
1781120963,shiny-front-analytics-advanced-6d576964d8-tc8mt,23,284
1781120963,shiny-front-csv-5fc46bdd6d-jzn78,35,179
1781120963,shiny-front-csv-advanced-7fb5c8d868-hvn2l,34,178
1781120963,shiny-front-map-9f7867f8b-qj7mb,40,178
1781120963,shiny-front-mc-5b5cbcb55d-95q9w,34,230
1781120963,shiny-front-ml-64cff4d56f-p65qz,34,230
1781120963,spring-backend-5dd6794c78-sqlt2,5,320
1781120969,angular-frontend-6d48cd76f7-wd7c7,1,8
1781120969,db-5979fd8856-l845c,1,44
1781120969,kafka-5ffd476ddd-j6bnm,56,968
1781120969,nginx-proxy-668678f9f-qr5tm,2,2
1781120969,shiny-back-5cf78446cf-kthzx,7,63
