timestamp,pod,cpu_millicores,memory_mib
1781126896,angular-frontend-5bcb47ff99-wzt4f,0,7
1781126896,db-7c55cd5598-lwg7z,1,40
1781126896,nginx-proxy-56577655cc-t8qqx,0,2
1781126896,redis-6fcfb5475d-9k4px,6,3
1781126896,shiny-back-5f757895fc-rcp49,1,69
1781126896,shiny-back-analytics-79bb8cff6-wnz6s,1,69
1781126896,shiny-back-analytics-advanced-7c8f5774c6-9lvw5,1,69
1781126896,shiny-back-csv-advanced-bcf4bf9d-vln4k,1,102
1781126896,shiny-back-csv-df7c9968-58p7k,1,69
1781126896,shiny-back-map-8555df7ddb-xxvqv,1,70
1781126896,shiny-back-mc-55685c979d-p7mph,1,69
1781126896,shiny-back-ml-6974d7f8d7-czvjx,1,70
1781126896,shiny-front-98c879f4-lm82w,1,111
1781126896,shiny-front-analytics-746b6bc595-pwwfk,1,144
1781126896,shiny-front-analytics-advanced-7d8f548465-pzbtj,1,154
1781126896,shiny-front-csv-7fd74749f5-h4b9k,1,110
1781126896,shiny-front-csv-advanced-55646d744f-pgjt9,1,109
1781126896,shiny-front-map-f7fbcdc77-zkhbb,1,107
1781126896,shiny-front-mc-7c4bfd44f5-xx42n,1,151
1781126896,shiny-front-ml-74c8cc859d-fdrqw,1,152
1781126896,spring-backend-5445d4848-96v8l,3,262
1781126902,angular-frontend-5bcb47ff99-wzt4f,0,7
1781126902,db-7c55cd5598-lwg7z,1,40
1781126902,nginx-proxy-56577655cc-t8qqx,0,2
1781126902,redis-6fcfb5475d-9k4px,6,3
1781126902,shiny-back-5f757895fc-rcp49,1,69
1781126902,shiny-back-analytics-79bb8cff6-wnz6s,1,69
1781126902,shiny-back-analytics-advanced-7c8f5774c6-9lvw5,1,69
1781126902,shiny-back-csv-advanced-bcf4bf9d-vln4k,1,102
1781126902,shiny-back-csv-df7c9968-58p7k,1,69
1781126902,shiny-back-map-8555df7ddb-xxvqv,1,70
1781126902,shiny-back-mc-55685c979d-p7mph,1,69
1781126902,shiny-back-ml-6974d7f8d7-czvjx,1,70
1781126902,shiny-front-98c879f4-lm82w,1,112
1781126902,shiny-front-analytics-746b6bc595-pwwfk,1,144
1781126902,shiny-front-analytics-advanced-7d8f548465-pzbtj,1,154
1781126902,shiny-front-csv-7fd74749f5-h4b9k,1,110
1781126902,shiny-front-csv-advanced-55646d744f-pgjt9,1,110
1781126902,shiny-front-map-f7fbcdc77-zkhbb,1,107
1781126902,shiny-front-mc-7c4bfd44f5-xx42n,1,151
1781126902,shiny-front-ml-74c8cc859d-fdrqw,1,153
1781126902,spring-backend-5445d4848-96v8l,3,262
1781126908,angular-frontend-5bcb47ff99-wzt4f,0,7
1781126908,db-7c55cd5598-lwg7z,1,40
1781126908,nginx-proxy-56577655cc-t8qqx,0,2
1781126908,redis-6fcfb5475d-9k4px,6,3
1781126908,shiny-back-5f757895fc-rcp49,1,69
1781126908,shiny-back-analytics-79bb8cff6-wnz6s,1,69
1781126908,shiny-back-analytics-advanced-7c8f5774c6-9lvw5,1,69
1781126908,shiny-back-csv-advanced-bcf4bf9d-vln4k,1,102
1781126908,shiny-back-csv-df7c9968-58p7k,1,69
1781126908,shiny-back-map-8555df7ddb-xxvqv,1,70
1781126908,shiny-back-mc-55685c979d-p7mph,1,69
1781126908,shiny-back-ml-6974d7f8d7-czvjx,1,70
1781126908,shiny-front-98c879f4-lm82w,1,112
1781126908,shiny-front-analytics-746b6bc595-pwwfk,1,144
1781126908,shiny-front-analytics-advanced-7d8f548465-pzbtj,1,154
1781126908,shiny-front-csv-7fd74749f5-h4b9k,1,110
1781126908,shiny-front-csv-advanced-55646d744f-pgjt9,1,110
1781126908,shiny-front-map-f7fbcdc77-zkhbb,1,107
1781126908,shiny-front-mc-7c4bfd44f5-xx42n,1,151
1781126908,shiny-front-ml-74c8cc859d-fdrqw,1,153
1781126908,spring-backend-5445d4848-96v8l,3,262
1781126914,angular-frontend-5bcb47ff99-wzt4f,3,8
1781126914,db-7c55cd5598-lwg7z,6,41
1781126914,nginx-proxy-56577655cc-t8qqx,0,2
1781126914,redis-6fcfb5475d-9k4px,6,3
1781126914,shiny-back-5f757895fc-rcp49,1,69
1781126914,shiny-back-analytics-79bb8cff6-wnz6s,1,69
1781126914,shiny-back-analytics-advanced-7c8f5774c6-9lvw5,1,69
1781126914,shiny-back-csv-advanced-bcf4bf9d-vln4k,1,102
1781126914,shiny-back-csv-df7c9968-58p7k,1,69
1781126914,shiny-back-map-8555df7ddb-xxvqv,1,70
1781126914,shiny-back-mc-55685c979d-p7mph,1,69
1781126914,shiny-back-ml-6974d7f8d7-czvjx,1,70
1781126914,shiny-front-98c879f4-lm82w,1,113
1781126914,shiny-front-analytics-746b6bc595-pwwfk,1,145
1781126914,shiny-front-analytics-advanced-7d8f548465-pzbtj,1,155
1781126914,shiny-front-csv-7fd74749f5-h4b9k,1,111
1781126914,shiny-front-csv-advanced-55646d744f-pgjt9,1,111
1781126914,shiny-front-map-f7fbcdc77-zkhbb,1,107
1781126914,shiny-front-mc-7c4bfd44f5-xx42n,1,152
1781126914,shiny-front-ml-74c8cc859d-fdrqw,1,153
1781126914,spring-backend-5445d4848-96v8l,107,274
1781126919,angular-frontend-5bcb47ff99-wzt4f,3,8
1781126919,db-7c55cd5598-lwg7z,6,41
1781126919,nginx-proxy-56577655cc-t8qqx,0,2
1781126919,redis-6fcfb5475d-9k4px,6,3
1781126919,shiny-back-5f757895fc-rcp49,1,69
1781126919,shiny-back-analytics-79bb8cff6-wnz6s,1,69
